Entity,Code,Day,Weekly deaths
United Kingdom,GBR,2021-10-31,1227
United Kingdom,GBR,2021-11-01,1220
United Kingdom,GBR,2021-11-02,1248
United Kingdom,GBR,2021-11-03,1289
United Kingdom,GBR,2021-11-04,1276
United Kingdom,GBR,2021-11-05,1283
United Kingdom,GBR,2021-11-06,1253
United Kingdom,GBR,2021-11-07,1234
United Kingdom,GBR,2021-11-08,1239
United Kingdom,GBR,2021-11-09,1204
United Kingdom,GBR,2021-11-10,1175
United Kingdom,GBR,2021-11-11,1167
United Kingdom,GBR,2021-11-12,1151
United Kingdom,GBR,2021-11-13,1140
United Kingdom,GBR,2021-11-14,1119
United Kingdom,GBR,2021-11-15,1101
United Kingdom,GBR,2021-11-16,1075
United Kingdom,GBR,2021-11-17,1085
United Kingdom,GBR,2021-11-18,1094
